effect_modifier,modifier_value,ethnic_group,odds_ratio,lower_ci,upper_ci,phenotype
imd_rank,0.05263157894736842,White,0.6173633838319684,0.5041646684571731,0.7559782974534928,DIABETES_T1
imd_rank,0.10526315789473684,White,0.594339047599404,0.4722935864954706,0.747922295795889,DIABETES_T1
imd_rank,0.15789473684210525,White,0.5721733953653297,0.44243725473139295,0.7399521420560442,DIABETES_T1
imd_rank,0.21052631578947367,White,0.5508344028315499,0.4144683094825993,0.7320669214048289,DIABETES_T1
imd_rank,0.2631578947368421,White,0.5302912400340795,0.38826743844085887,0.7242657287618919,DIABETES_T1
imd_rank,0.3157894736842105,White,0.5105142268008953,0.36372287169944695,0.7165476686917742,DIABETES_T1
imd_rank,0.3684210526315789,White,0.4914747898708771,0.34072990495555944,0.7089118553011284,DIABETES_T1
imd_rank,0.42105263157894735,White,0.4731454216119783,0.3191904528537821,0.7013574121370345,DIABETES_T1
imd_rank,0.47368421052631576,White,0.4554996402789901,0.2990126305652296,0.6938834720863994,DIABETES_T1
imd_rank,0.5263157894736842,White,0.4385119517534748,0.28011036181741816,0.6864891772764273,DIABETES_T1
imd_rank,0.5789473684210527,White,0.42215781271059616,0.2624030117027732,0.6791736789761523,DIABETES_T1
imd_rank,0.631578947368421,White,0.4064135951596275,0.2458150426993739,0.6719361374990185,DIABETES_T1
imd_rank,0.6842105263157894,White,0.3912565523069088,0.23027569243656068,0.6647757221064999,DIABETES_T1
